job_title,company,location,experience,salary,skills,city_searched
Lead Data Analyst,Leading Client,Jaipur,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",jaipur
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Jaipur,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",jaipur
Risk Data Analyst,PURVIEW,Hybrid - Jaipur,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Risk control",jaipur
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Jaipur,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",jaipur
Senior Data Analyst,Sanmax Technologies,Jaipur,8-13 Yrs,Not Disclosed,"ab initio, data analysis, datastage, data engineer, data mining, customer service, data warehousing, agile development",jaipur
BA (Business Analyst),Singhtek,Jaipur,2-7 Yrs,Not Disclosed,"Business Analyst, Business analysis",jaipur
Business Analyst Intern (Partnerships),Hawkscode,Jaipur,0-1 Yrs,Not Disclosed,"marketing, python, tableau, data analysis, business analysis, auditing, business development, reporting",jaipur
Jr. Business Analyst,LMD Consulting,Jaipur,2-7 Yrs,Not Disclosed,"Data analysis, Business analysis, Analytical, SAT, Business process modeling, Visio, Operations, Information technology",jaipur
Business Analyst,Globally Web Solutions,Jaipur,0-4 Yrs,Not Disclosed,"project management, data analysis, business requirements, gap analysis, documentation, business analysis, uat, process improvement",jaipur
Business Analyst,Tgsane Technologies,Jaipur,1-3 Yrs,Not Disclosed,"project management, data analysis, data analytics, gap analysis, business analysis, uat, business analytics, user stories",jaipur
Business Analyst,Leading Client,Jaipur,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",jaipur
Business Analyst,Ascure Technologies,Jaipur,0-4 Yrs,Not Disclosed,"project management, apqp, data analysis, control plan, gap analysis, documentation, spc, business analysis",jaipur
Business Analyst (Cybersecurity),Purview Service,Hybrid - Jaipur,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",jaipur
Business Analyst (Post Sales),Emizen Tech,Jaipur,1-3 Yrs,Not Disclosed,"data analysis, team management, post sales, business analysis, process optimization, sales process, business development, sales",jaipur
Business Analyst (Bidder),Emizen Tech,Jaipur,0-5 Yrs,Not Disclosed,"Product management, Data analysis, Business Analyst, Project management, Analytical, Market research, Management, Business operations",jaipur
Business Analyst,Premad Software Solutions,Jaipur,2-7 Yrs,Not Disclosed,"Data analysis, Business analysis, Financial analysis, Project management, Process improvement, Analytical, Agile, Market research",jaipur
Senior Business Analyst,Leading Client,Jaipur,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",jaipur
Data Analyst,Inveris Solution,Jaipur(Mansarovar),3-5 Yrs,7-8.5 Lacs PA,"Excel, Power BI, Dax, Data Modeling, Power Query, Financial Analysis, SAP, Netsuite",jaipur
Business Analyst,Zentek Infosoft,Jaipur,5-8 Yrs,Not Disclosed,"Data analysis, Manager Quality Assurance, Business analysis, Project management, Process improvement, Analytical, Project planning, Project delivery",jaipur
Mis Executive,Neosalpha Technologies India,Jaipur,0-3 Yrs,Not Disclosed,"Advanced Excel, MIS Reporting, Pivot Table, VLOOKUP, Data Management, Conditional Formatting, Data Analysis, Data Extraction",jaipur
"Consultant - Government Advisory - Data Analytics, MIS & Reporting",Amber And Mark Advisory Services,Jaipur,3-6 Yrs,Not Disclosed,"Data Analysis, Insights, Power BI, Data Collection, Advanced Excel, Tableau, Reporting, MIS Reporting",jaipur
MIS Data Analytics Expert,Bahwan CyberTek,Jaipur,6-10 Yrs,15-25 Lacs PA,"Excel, Power BI, Data Analytics, Statistics, SQL, Tableau, Analytics, Bi",jaipur
Mis And Account Executive,Seven Consultancy,Jaipur,0-3 Yrs,2-3 Lacs PA,"Tally, Power BI, Advanced Excel, MIS Reporting, MIS Executive, Typing Speed, Accounting, MIS Operations",jaipur
MIS Executive,Club Oxygen,"Jaipur, Kochi, Mumbai, Chandigarh, New Delhi, Lucknow, Thrissur, Chennai, Ahmedabad, Bengaluru",1-2 Yrs,Not Disclosed,"Vice President Marketing, Report generation, Data analysis, System maintenance, MIS, Analytical, Management, MS Office",jaipur
MIS Executive,Velvu Technologies,Jaipur,0-3 Yrs,Not Disclosed,"Training, Report generation, Business analytics, Advanced Excel, Executive management, Management, Network management, Troubleshooting",jaipur
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Ujjain, Bhopal, Gwalior, Indore, Jabalpur",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",ujjain
Data Analyst,Fireblaze Ai School,Ahmedabad,0-2 Yrs,Not Disclosed,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL",ahmedabad
Data Analyst,S&P Global Market Intelligence,Ahmedabad,0-5 Yrs,Not Disclosed,"ai, data formats, queue management, process excellence, data capture, data research, exception handling, process improvement",ahmedabad
Data Analyst,Legalwiz.in,Ahmedabad,1-3 Yrs,Not Disclosed,"Computer science, Analytical skills, Computer languages, Excel, Coding, data visualization, Data mining, Business intelligence",ahmedabad
Data Analyst,Advanced Risk Analytics,Ahmedabad,2-6 Yrs,Not Disclosed,"CV, Environmental science, Image processing, Technical, Data collection, Data processing, Data Analyst, MSC",ahmedabad
Data Analyst,Ramesh Parasmal Jain & Co.,Ahmedabad,1-4 Yrs,Not Disclosed,"Data Analyst, Data analysis, Data",ahmedabad
Data Analyst,Leading Client,Ahmedabad,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",ahmedabad
Data Analyst,Stalwart Themius,Ahmedabad,5-7 Yrs,Not Disclosed,"Business process, Data analysis, Process analysis, Analytical, data governance, power bi, Data Analyst, data visualization",ahmedabad
Data Analyst,Space Stem,Ahmedabad,2-5 Yrs,Not Disclosed,"customer analytics, digital analytics, python, data querying, power bi, data analyst, javascript, analytics",ahmedabad
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Ahmedabad,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",ahmedabad
Data Analyst,Spes Manning,Ahmedabad,3-6 Yrs,7.5-9 Lacs PA,"Data Analyst, SQL, Python, Automation, ETL, Data analysis, Data",ahmedabad
Data Analyst,Integrity Knowledge Services,Ahmedabad,3-5 Yrs,Not Disclosed,"Data analysis, Claims, Data modeling, Analytical, Billing, healthcare management, Healthcare, Data Analyst",ahmedabad
Data Analyst/PowerBI Developer,Innovatics Consulting,Ahmedabad,3-5 Yrs,3-8 Lacs PA,"Azure Data Factory, Power BI, Business Intelligence Reporting, Azure fabric, Dax, Power Query, SQL, Bi",ahmedabad
Quantitative Analyst / Data Analyst,Surbhi Finsec,Ahmedabad,2-7 Yrs,Not Disclosed,"Statistical modeling, Machine learning, Programming, Quantitative Analyst, Data Analyst, Research, Risk management, Monitoring",ahmedabad
Data Analyst,Xduce Technologies,Ahmedabad,5-8 Yrs,Not Disclosed,"mapping, python, data analysis, data validation, data platforms, insurance analytics, business analysis, power bi",ahmedabad
Data Analyst with Low Code,Overture Rede,Ahmedabad,1-3 Yrs,Not Disclosed,"Front end, MySQL, Debugging, Machine learning, Data structures, HTML, SDLC, Analytics",ahmedabad
Data Analyst (Mobile Apps - IOS & Android),Talent Sketchers,"Ahmedabad, Bengaluru",4-6 Yrs,Not Disclosed,"Product Data Analyst, Mobile Applications, e-commerce, Amplitude, python, AI, IOS, LLM",ahmedabad
Data Analyst,Adani Group,Ahmedabad,0-2 Yrs,Not Disclosed,"Excel, Power BI, Stakeholder Management, Management, Data analysis, Bi, Data",ahmedabad
Junior Clinical Data Analyst,Veeda CR,Remote,2-4 Yrs,Not Disclosed,"Smartsheet, R Program, SAS Programming, Python, SAS, Data analysis, R, Program",ahmedabad
Data Analyst Trainer (Part-time Onsite),Weltec,Ahmedabad(Navrangpura),4-9 Yrs,"50,000-2.5 Lacs PA","SQL Database, Power BI Development, Advanced MS Excel, IT Training, Technical Training, Software Training, Product Training, Microsoft",ahmedabad
Assistant Manager - Data Analyst,Adani Group,Ahmedabad,3-7 Yrs,Not Disclosed,"SAP, SAS, BI, Advanced Excel, Vendor Management, Tableau, R, Excel",ahmedabad
Data Analyst (Supply Chain Operations),Adas Globus,Ahmedabad,0-4 Yrs,Not Disclosed,"English Language Skills, SAP, Reporting and Analysis, Financial Operations, English Verbal and Written, Logistics Operations, Supply Chain Operations, MIS Reporting",ahmedabad
Business & Data Analyst,Prudent Corporate,Ahmedabad,1-4 Yrs,6-9 Lacs PA,"Mutual Fund, Power BI, Data Analyst, Advanced Excel, Business Analysis, NISM, Wealth Management, VBA",ahmedabad
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Ahmedabad,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",ahmedabad
Business Data Analyst,Leading Client,Ahmedabad,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",ahmedabad
Big Data Analyst,R3coder,Ahmedabad,1-6 Yrs,Not Disclosed,"Core Java, NoSQL, cassandra, SCALA, Data structures, Data processing, MongoDB, Outsourcing",ahmedabad
Data Analyst - Information and technology,Intas,Ahmedabad,4-8 Yrs,Not Disclosed,"Data Science, statistical, Microsoft Fabric, Microsoft Power BI, Machine Learning, Microsoft DP-600 Certified, SQL, Python",ahmedabad
Lead Data Analyst,Leading Client,Ahmedabad,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",ahmedabad
Risk Data Analyst,PURVIEW,Hybrid - Ahmedabad,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Management",ahmedabad
Senior Data Analyst,Leading Client,Ahmedabad,4-8 Yrs,Not Disclosed,"finance, python, data analysis, data warehousing, power bi, business intelligence, data analyst, sql",ahmedabad
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Ahmedabad,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",ahmedabad
MIS Executive - Manufacturing Data & Client Reporting,HCP Wellness,Ahmedabad,0-5 Yrs,Not Disclosed,"order processing, operational support, data management, order management, back office operations, client reporting, coordination, industrial",ahmedabad
Mis Executive,Crystal Voxx,Ahmedabad(Shyamal Cross Road),0-2 Yrs,2.75-3.25 Lacs PA,"Power BI, VLOOKUP, MIS, Advanced Excel, MIS Reporting, Data Analysis, Data Analytics, Excel",ahmedabad
Business Analyst,Leading Client,Ahmedabad,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",ahmedabad
Freelancer Business Analyst through Dashboards Development (WFM),MFI,"Hybrid - Ahmedabad, India, Mumbai (All Areas)",0-7 Yrs,2-6 Lacs PA,"Google Data Studio, Scripting, Data Visualization, Looker Studio, Report Automation, Business Analytics, Power BI, Data Interpretation",ahmedabad
Senior Business Analyst,Leading Client,Ahmedabad,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",ahmedabad
Senior Business Analyst,Satva Solutions,Ahmedabad,8-13 Yrs,Not Disclosed,"xero, gl, data mapping, api, asana, jira, communication skills, Data",ahmedabad
Sr. Business Analyst,Crest Coder,Ahmedabad,4-9 Yrs,Not Disclosed,"project management, data analysis, business requirements, gap analysis, business analysis, uat, user stories, dashboards",ahmedabad
Sr.Business Analyst (Domain : Property casualty),Allies Business Hub,Ahmedabad,5-10 Yrs,Not Disclosed,"Product management, Data analysis, Usage, Project management, Analytical, Market research, Senior Business Analyst, Management",ahmedabad
Mid-Level Business Analyst,Pozitive Electricity & Gas,Ahmedabad,2-3 Yrs,Not Disclosed,"Visio, Diagramming, Process Flow, Data flow diagrams, Figma, Wireframing, Draw.io, Wireframe",ahmedabad
Senior Business Analyst - Healthcare,Hexaware Technologies,Ahmedabad,3-7 Yrs,Not Disclosed,"Business process, Data analysis, ODBC, Customer management, Claims, Healthcare, Senior Business Analyst, SDLC",ahmedabad
Business Analyst ( BA ),Iboon Technologies,Ahmedabad,3-8 Yrs,Not Disclosed,"project management, data analysis, strong analytical skills, documentation, project implementation, business analysis, process optimization, uat",ahmedabad
Business Analyst,Browseinfo,Ahmedabad,1-5 Yrs,Not Disclosed,"erp, css, python, project management, data analysis, business analysis, user stories, openerp",ahmedabad
Business Analyst,Squirrel Softech Services,Ahmedabad,3-6 Yrs,Not Disclosed,"Data analysis, Manager Quality Assurance, Business analysis, Competitive analysis, Project management, Process improvement, Market research, Business strategy",ahmedabad
Business Analyst,Sandcup Design Studio,Ahmedabad,2-7 Yrs,Not Disclosed,"design studio, Data analysis, Process mapping, Excel, Business Analyst, Analytical, power bi, Business modeling",ahmedabad
Business Analyst,Zithas Nextzen,Ahmedabad,1-3 Yrs,Not Disclosed,"Business Analyst, Business analysis, Project management, Process improvement, Healthcare, Business process modeling, JIRA, Business solutions",ahmedabad
Business Analyst (Cybersecurity),Purview Service,Hybrid - Ahmedabad,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",ahmedabad
Business Analyst,Gitakshmi Technologies,Ahmedabad,4-5 Yrs,Not Disclosed,"erp, confluence, data analysis, adwords, business requirements, customer relationship, administration, enterprise applications",ahmedabad
IT Business Analyst - Transport Management System,Rovy Solutions,Remote,3-4 Yrs,Not Disclosed,"Business Analyst, Transport Management System, Project Management, Project Risk Management, SQL, Transport management, IT Business Analysis, Risk",ahmedabad
Business Analyst - Retail Consultant,Dynatech Systems,Ahmedabad,3-6 Yrs,8-13 Lacs PA,"D365 Supply Chain Management, POS Configuration, MPOS Configuration, Promotions, Omnichannel Retail, Pricing, D365 Functional, Retail",ahmedabad
Business Analyst,Hops Healthcare,Ahmedabad,2-5 Yrs,Not Disclosed,"project management, data analysis, data analytics, gap analysis, business analysis, uat, power bi, business analytics",ahmedabad
Client Data Analyst,Xcellence It,Surat,16-26 Yrs,Not Disclosed,"Online research, Data analysis, HRM, Front end, Sales, Social media, Data Analyst, Research",surat
Business Analyst,Empiric Infotech,Surat,3-6 Yrs,Not Disclosed,"data analytics, data analysis, gap analysis, business analysis, uat, power bi, user stories, business intelligence",surat
Data Analyst,Hashtag Infosystem,Surat,3-6 Yrs,Not Disclosed,"data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis",surat
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Surat,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",surat
Business Analyst,Solwin Infotech,Surat,2-7 Yrs,Not Disclosed,"competitor analysis, data analysis, data interpretation, data management, business analysis, business analyst, budgeting, business sales",surat
Business Analyst (Pre-Sales) Client Data Profiling,Xcellence It,Surat,5-10 Yrs,Not Disclosed,"Online research, Analytical skills, HRM, Sales, Data management, Business Analyst, Sales analysis, Social media",surat
Data Analyst,Fornax,"Hybrid - Surat, Mumbai (All Areas)",2-5 Yrs,Not Disclosed,"Power BI, Data Analyst, SQL, Root Cause Analysis, Business Intelligence, Supply Chain Analytics, Tableau, FMCG",surat
Business Data Analyst,Leading Client,Surat,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",surat
Team Lead- Data Analyst,KGK Group,Surat,5-7 Yrs,5-12 Lacs PA,"Advanced Excel, Tableau, Python, Power BI, Data Analysis, Data Visualization, Team Leading, Dashboards",surat
Data Analyst,Leading Client,Surat,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",surat
Senior Business Analyst,Leading Client,Surat,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",surat
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Surat,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",surat
Risk Data Analyst,PURVIEW,Hybrid - Surat,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Analysis",surat
Lead Data Analyst,Leading Client,Surat,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",surat
Data Analyst,Aloola,Surat,4-9 Yrs,Not Disclosed,"data analysis, data management, data architecture, analytical skills, data analyst, analytics, cloud, data modeling",surat
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Surat,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",surat
MIS Executive and Analyst,Gurukrupa Exports,Surat(Varachha),1-4 Yrs,Not Disclosed,"VLOOKUP, excel, Advanced Excel, MIS, Analysis",surat
Business Analyst,Leading Client,Surat,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",surat
Business Analyst (Cybersecurity),Purview Service,Hybrid - Surat,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",surat
