job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Ahmedabad,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",ahmedabad,6,10,"data cleansing, splunk, python, data quality, classification, regression, statistical analyses, clustering"
Data Analyst,Spes Manning,Ahmedabad,3-6 Yrs,7.5-9 Lacs PA,"Data Analyst, SQL, Python, Automation, ETL, Data analysis, Data",ahmedabad,3,6,"data analyst, sql, python, automation, etl, data analysis, data"
Data Analyst,Integrity Knowledge Services,Ahmedabad,3-5 Yrs,Not Disclosed,"Data analysis, Claims, Data modeling, Analytical, Billing, healthcare management, Healthcare, Data Analyst",ahmedabad,3,5,"data analysis, claims, data modeling, analytical, billing, healthcare management, healthcare, data analyst"
Data Analyst/PowerBI Developer,Innovatics Consulting,Ahmedabad,3-5 Yrs,3-8 Lacs PA,"Azure Data Factory, Power BI, Business Intelligence Reporting, Azure fabric, Dax, Power Query, SQL, Bi",ahmedabad,3,5,"azure data factory, power bi, business intelligence reporting, azure fabric, dax, power query, sql, bi"
Quantitative Analyst / Data Analyst,Surbhi Finsec,Ahmedabad,2-7 Yrs,Not Disclosed,"Statistical modeling, Machine learning, Programming, Quantitative Analyst, Data Analyst, Research, Risk management, Monitoring",ahmedabad,2,7,"statistical modeling, machine learning, programming, quantitative analyst, data analyst, research, risk management, monitoring"
Data Analyst,Xduce Technologies,Ahmedabad,5-8 Yrs,Not Disclosed,"mapping, python, data analysis, data validation, data platforms, insurance analytics, business analysis, power bi",ahmedabad,5,8,"mapping, python, data analysis, data validation, data platforms, insurance analytics, business analysis, power bi"
Data Analyst with Low Code,Overture Rede,Ahmedabad,1-3 Yrs,Not Disclosed,"Front end, MySQL, Debugging, Machine learning, Data structures, HTML, SDLC, Analytics",ahmedabad,1,3,"front end, mysql, debugging, machine learning, data structures, html, sdlc, analytics"
Data Analyst (Mobile Apps - IOS & Android),Talent Sketchers,"Ahmedabad, Bengaluru",4-6 Yrs,Not Disclosed,"Product Data Analyst, Mobile Applications, e-commerce, Amplitude, python, AI, IOS, LLM",ahmedabad,4,6,"product data analyst, mobile applications, e-commerce, amplitude, python, ai, ios, llm"
Data Analyst,Adani Group,Ahmedabad,0-2 Yrs,Not Disclosed,"Excel, Power BI, Stakeholder Management, Management, Data analysis, Bi, Data",ahmedabad,0,2,"excel, power bi, stakeholder management, management, data analysis, bi, data"
Junior Clinical Data Analyst,Veeda CR,Remote,2-4 Yrs,Not Disclosed,"Smartsheet, R Program, SAS Programming, Python, SAS, Data analysis, R, Program",ahmedabad,2,4,"smartsheet, r program, sas programming, python, sas, data analysis, r, program"
Data Analyst Trainer (Part-time Onsite),Weltec,Ahmedabad(Navrangpura),4-9 Yrs,"50,000-2.5 Lacs PA","SQL Database, Power BI Development, Advanced MS Excel, IT Training, Technical Training, Software Training, Product Training, Microsoft",ahmedabad,4,9,"sql database, power bi development, advanced ms excel, it training, technical training, software training, product training, microsoft"
Assistant Manager - Data Analyst,Adani Group,Ahmedabad,3-7 Yrs,Not Disclosed,"SAP, SAS, BI, Advanced Excel, Vendor Management, Tableau, R, Excel",ahmedabad,3,7,"sap, sas, bi, excel, vendor management, tableau, r, excel"
Data Analyst (Supply Chain Operations),Adas Globus,Ahmedabad,0-4 Yrs,Not Disclosed,"English Language Skills, SAP, Reporting and Analysis, Financial Operations, English Verbal and Written, Logistics Operations, Supply Chain Operations, MIS Reporting",ahmedabad,0,4,"english language skills, sap, reporting and analysis, financial operations, english verbal and written, logistics operations, supply chain operations, mis reporting"
Business & Data Analyst,Prudent Corporate,Ahmedabad,1-4 Yrs,6-9 Lacs PA,"Mutual Fund, Power BI, Data Analyst, Advanced Excel, Business Analysis, NISM, Wealth Management, VBA",ahmedabad,1,4,"mutual fund, power bi, data analyst, excel, business analysis, nism, wealth management, vba"
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Ahmedabad,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",ahmedabad,7,12,"business analyst, privilege guard log, cyberark, power bi, data analyst, user stories, sql, kci"
Business Data Analyst,Leading Client,Ahmedabad,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",ahmedabad,7,10,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection"
Big Data Analyst,R3coder,Ahmedabad,1-6 Yrs,Not Disclosed,"Core Java, NoSQL, cassandra, SCALA, Data structures, Data processing, MongoDB, Outsourcing",ahmedabad,1,6,"core java, nosql, cassandra, scala, data structures, data processing, mongodb, outsourcing"
Data Analyst - Information and technology,Intas,Ahmedabad,4-8 Yrs,Not Disclosed,"Data Science, statistical, Microsoft Fabric, Microsoft Power BI, Machine Learning, Microsoft DP-600 Certified, SQL, Python",ahmedabad,4,8,"data science, statistical, microsoft fabric, microsoft power bi, machine learning, microsoft dp-600 certified, sql, python"
Lead Data Analyst,Leading Client,Ahmedabad,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",ahmedabad,7,12,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills"
